"game_id","home_team","away_team","posteam","posteam_type","defteam","side_of_field","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","time","yrdln","ydstogo","ydsnet","desc","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","no_score_prob","opp_fg_prob","opp_safety_prob","opp_td_prob","fg_prob","safety_prob","td_prob","extra_point_prob","two_point_conversion_prob","ep","epa","total_home_epa","total_away_epa","total_home_rush_epa","total_away_rush_epa","total_home_pass_epa","total_away_pass_epa","air_epa","yac_epa","comp_air_epa","comp_yac_epa","total_home_comp_air_epa","total_away_comp_air_epa","total_home_comp_yac_epa","total_away_comp_yac_epa","total_home_raw_air_epa","total_away_raw_air_epa","total_home_raw_yac_epa","total_away_raw_yac_epa","wp","def_wp","home_wp","away_wp","wpa","home_wp_post","away_wp_post","total_home_rush_wpa","total_away_rush_wpa","total_home_pass_wpa","total_away_pass_wpa","air_wpa","yac_wpa","comp_air_wpa","comp_yac_wpa","total_home_comp_air_wpa","total_away_comp_air_wpa","total_home_comp_yac_wpa","total_away_comp_yac_wpa","total_home_raw_air_wpa","total_away_raw_air_wpa","total_home_raw_yac_wpa","total_away_raw_yac_wpa","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_inside_twenty","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_inside_twenty","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_id","passer_player_name","receiver_player_id","receiver_player_name","rusher_player_id","rusher_player_name","lateral_receiver_player_id","lateral_receiver_player_name","lateral_rusher_player_id","lateral_rusher_player_name","lateral_sack_player_id","lateral_sack_player_name","interception_player_id","interception_player_name","lateral_interception_player_id","lateral_interception_player_name","punt_returner_player_id","punt_returner_player_name","lateral_punt_returner_player_id","lateral_punt_returner_player_name","kickoff_returner_player_name","kickoff_returner_player_id","lateral_kickoff_returner_player_id","lateral_kickoff_returner_player_name","punter_player_id","punter_player_name","kicker_player_name","kicker_player_id","own_kickoff_recovery_player_id","own_kickoff_recovery_player_name","blocked_player_id","blocked_player_name","tackle_for_loss_1_player_id","tackle_for_loss_1_player_name","tackle_for_loss_2_player_id","tackle_for_loss_2_player_name","qb_hit_1_player_id","qb_hit_1_player_name","qb_hit_2_player_id","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_id","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_id","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_id","solo_tackle_2_player_id","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_id","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_id","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_id","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_id","assist_tackle_4_player_name","assist_tackle_4_team","pass_defense_1_player_id","pass_defense_1_player_name","pass_defense_2_player_id","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_id","fumbled_1_player_name","fumbled_2_player_id","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_id","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_id","fumble_recovery_2_player_name","return_team","return_yards","penalty_team","penalty_player_id","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv"
2019092200,"BUF","CIN","BUF","home","CIN","CIN",35,"2019-09-22",900,1800,3600,"Half1",0,1,0,1,NA,0,"15:00","CIN 35",0,0,"R.Bullock kicks 65 yards from CIN 35 to end zone, Touchback. Kick through end zone.","kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.00137367959113161,0.162631509518862,0.00444072635822802,0.25417863378643,0.23308117414857,0.00365571302658065,0.340638563570199,0,0,0.814998475712213,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R.Bullock","00-0029421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
2019092200,"BUF","CIN","BUF","home","CIN","BUF",75,"2019-09-22",900,1800,3600,"Half1",0,1,0,1,1,0,"15:00","BUF 25",10,0,"(15:00) (Shotgun) J.Allen pass incomplete short left to L.Smith [C.Dunlap]. Off receiver's hands, along sideline at BUF 35.","pass",0,1,0,1,0,0,0,"short","left",10,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00137367959113161,0.162631509518862,0.00444072635822802,0.25417863378643,0.23308117414857,0.00365571302658065,0.340638563570199,0,0,0.814998475712213,-0.769854227895752,-0.769854227895752,0.769854227895752,0,0,-0.769854227895752,0.769854227895752,0.933379557396442,-1.70323378529219,0,0,0,0,0,0,0.933379557396442,-0.933379557396442,-1.70323378529219,1.70323378529219,0.500006821721935,0.499993178278065,0.500006821721935,0.499993178278065,-0.0218802185485543,0.47812660317338,0.52187339682662,0,0,-0.0218802185485543,0.0218802185485543,0.028146312793328,-0.0500265313418823,0,0,0,0,0,0,0.028146312793328,-0.028146312793328,-0.0500265313418823,0.0500265313418823,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0034857","J.Allen","00-0028097","L.Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0027662","C.Dunlap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
2019092200,"BUF","CIN","BUF","home","CIN","BUF",75,"2019-09-22",891,1791,3591,"Half1",0,1,0,1,2,0,"14:51","BUF 25",10,0,"(14:51) (Shotgun) J.Allen pass short left to C.Beasley to BUF 27 for 2 yards (C.Dunlap, J.Bates III). Screen pass, caught at BUF 23.","pass",2,1,0,1,0,0,0,"short","left",-2,4,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00145906330460217,0.188603269316483,0.00570133109115322,0.295398674565105,0.212948412771333,0.00398450821386435,0.29190474073746,0,0,0.0451442478164608,-0.661754372848644,-1.4316086007444,1.4316086007444,0,0,-1.4316086007444,1.4316086007444,-1.18909300146001,0.527338628611369,-1.18909300146001,0.527338628611369,-1.18909300146001,1.18909300146001,0.527338628611369,-0.527338628611369,-0.255713444063571,0.255713444063571,-1.17589515668083,1.17589515668083,0.47812660317338,0.52187339682662,0.47812660317338,0.52187339682662,-0.0168612532693689,0.461265349904011,0.538734650095989,0,0,-0.0387414718179232,0.0387414718179232,-0.0344028253145979,0.0175415720452289,-0.0344028253145979,0.0175415720452289,-0.0344028253145979,0.0344028253145979,0.0175415720452289,-0.0175415720452289,-0.00625651252126985,0.00625651252126985,-0.0324849592966533,0.0324849592966533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"00-0034857","J.Allen","00-0029000","C.Beasley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0027662","C.Dunlap","CIN","00-0034675","J.Bates III","CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
2019092200,"BUF","CIN","BUF","home","CIN","BUF",73,"2019-09-22",850,1750,3550,"Half1",0,1,0,1,3,0,"14:10","BUF 27",8,0,"(14:10) (Shotgun) J.Allen sacked at BUF 25 for -2 yards (G.Atkins).","pass",-2,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00164988692506083,0.215299622081141,0.00579164846047281,0.332351431551804,0.181198880407123,0.00444485924946792,0.25926367132493,0,0,-0.616610125032183,-1.75245360255724,-3.18406220330163,3.18406220330163,0,0,-3.18406220330163,3.18406220330163,NA,NA,0,0,-1.18909300146001,1.18909300146001,0.527338628611369,-0.527338628611369,-0.255713444063571,0.255713444063571,-1.17589515668083,1.17589515668083,0.461265349904011,0.538734650095989,0.461265349904011,0.538734650095989,-0.0506918785044537,0.410573471399558,0.589426528600442,0,0,-0.0894333503223769,0.0894333503223769,NA,NA,0,0,-0.0344028253145979,0.0344028253145979,0.0175415720452289,-0.0175415720452289,-0.00625651252126985,0.00625651252126985,-0.0324849592966533,0.0324849592966533,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0034857","J.Allen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0027720","G.Atkins",NA,NA,"00-0027720","G.Atkins",NA,NA,NA,NA,NA,NA,NA,NA,"CIN",NA,"00-0027720",NA,"G.Atkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
2019092200,"BUF","CIN","BUF","home","CIN","BUF",75,"2019-09-22",812,1712,3512,"Half1",0,1,0,1,4,0,"13:32","BUF 25",10,0,"(13:32) C.Bojorquez punts 42 yards to CIN 33, Center-R.Ferguson. A.Erickson to CIN 37 for 4 yards (J.Stanford).","punt",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00201063826175971,0.291394975003452,0.00719413428660288,0.427804226163218,0.0904134035625862,0.00507590412154983,0.176106718600831,0,0,-2.36906372758942,0.421694685200057,-2.76236751810157,2.76236751810157,0,0,-3.18406220330163,3.18406220330163,NA,NA,0,0,-1.18909300146001,1.18909300146001,0.527338628611369,-0.527338628611369,-0.255713444063571,0.255713444063571,-1.17589515668083,1.17589515668083,0.410573471399558,0.589426528600442,0.410573471399558,0.589426528600442,0.0497403646861543,0.460313836085712,0.539686163914288,0,0,-0.0894333503223769,0.0894333503223769,NA,NA,0,0,-0.0344028253145979,0.0344028253145979,0.0175415720452289,-0.0175415720452289,-0.00625651252126985,0.00625651252126985,-0.0324849592966533,0.0324849592966533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0032543","A.Erickson",NA,NA,NA,NA,NA,NA,"00-0034721","C.Bojorquez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF",NA,"00-0029061",NA,"J.Stanford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",4,NA,NA,NA,NA,0,NA,NA,0,0,0,0
2019092200,"BUF","CIN","CIN","away","BUF","CIN",63,"2019-09-22",800,1700,3500,"Half1",0,2,0,1,1,0,"13:20","CIN 37",10,5,"(13:20) A.Dalton pass incomplete short right to J.Ross III. Off receiver's hands, near sideline at CIN 41.","pass",0,0,0,1,0,0,0,"short","right",4,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.001586385590016,0.122777375729037,0.00162131186758762,0.190828435995094,0.277318565369119,0.00365766579481405,0.402210259654332,0,0,1.94736904238936,-0.706832290969069,-2.0555352271325,2.0555352271325,0,0,-2.47722991233256,2.47722991233256,-0.343390151938044,-0.363442139031025,0,0,-1.18909300146001,1.18909300146001,0.527338628611369,-0.527338628611369,0.0876767078744729,-0.0876767078744729,-0.8124530176498,0.8124530176498,0.539686163914288,0.460313836085712,0.460313836085712,0.539686163914288,-0.0211339685222734,0.481447804607985,0.518552195392015,0,0,-0.0682993818001035,0.0682993818001035,-0.010154434191361,-0.0109795343309125,0,0,-0.0344028253145979,0.0344028253145979,0.0175415720452289,-0.0175415720452289,0.00389792167009112,-0.00389792167009112,-0.0215054249657409,0.0215054249657409,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0027973","A.Dalton","00-0033460","J.Ross III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
2019092200,"BUF","CIN","CIN","away","BUF","CIN",63,"2019-09-22",796,1696,3496,"Half1",0,2,0,1,2,0,"13:16","CIN 37",10,5,"(13:16) (Shotgun) J.Mixon up the middle to CIN 42 for 5 yards (E.Oliver, M.Hyde).","run",5,1,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00169986182278698,0.144970336214207,0.00245450734439151,0.226842411417744,0.269967828314653,0.0040210428943155,0.350044011991902,0,0,1.24053675142029,-0.105694899813072,-1.94984032731943,1.94984032731943,0.105694899813072,-0.105694899813072,-2.47722991233256,2.47722991233256,NA,NA,0,0,-1.18909300146001,1.18909300146001,0.527338628611369,-0.527338628611369,0.0876767078744729,-0.0876767078744729,-0.8124530176498,0.8124530176498,0.518552195392015,0.481447804607985,0.481447804607985,0.518552195392015,-0.001241708124747,0.482689512732732,0.517310487267268,0.001241708124747,-0.001241708124747,-0.0682993818001035,0.0682993818001035,NA,NA,0,0,-0.0344028253145979,0.0344028253145979,0.0175415720452289,-0.0175415720452289,0.00389792167009112,-0.00389792167009112,-0.0215054249657409,0.0215054249657409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"00-0033897","J.Mixon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0035230","E.Oliver","BUF","00-0030090","M.Hyde","BUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
2019092200,"BUF","CIN","CIN","away","BUF","CIN",58,"2019-09-22",757,1657,3457,"Half1",0,2,0,1,3,0,"12:37","CIN 42",5,5,"(12:37) (Shotgun) A.Dalton pass incomplete short right to A.Tate (J.Hughes). A.Dalton's arm hit on delivery; receiver at CIN 46.","pass",0,1,0,1,0,0,0,"short","right",4,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00187310035776907,0.14915555752754,0.00210491717499539,0.23170895988881,0.268980377204209,0.00433993375557141,0.341837154091105,0,0,1.13484185160722,-1.88484186645438,-0.0649984608650533,0.0649984608650533,0.105694899813072,-0.105694899813072,-0.592388045878183,0.592388045878183,-1.50813567767539,-0.37670618877899,0,0,-1.18909300146001,1.18909300146001,0.527338628611369,-0.527338628611369,1.59581238554986,-1.59581238554986,-0.43574682887081,0.43574682887081,0.517310487267268,0.482689512732732,0.482689512732732,0.517310487267268,-0.0549922572685418,0.537681770001274,0.462318229998726,0.001241708124747,-0.001241708124747,-0.0133071245315617,0.0133071245315617,-0.0438770216079029,-0.0111152356606389,0,0,-0.0344028253145979,0.0344028253145979,0.0175415720452289,-0.0175415720452289,0.047774943277994,-0.047774943277994,-0.0103901893051019,0.0103901893051019,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0027973","A.Dalton","00-0034686","A.Tate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0027881","J.Hughes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
2019092200,"BUF","CIN","CIN","away","BUF","CIN",58,"2019-09-22",753,1653,3453,"Half1",0,2,0,1,4,0,"12:33","CIN 42",5,5,"(12:33) K.Huber punts 41 yards to BUF 17, Center-C.Harris, fair catch by A.Roberts.","punt",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00236702665876598,0.218725029814291,0.00336589818991853,0.332471502335257,0.207594857501276,0.00618139673698381,0.229294288763507,0,0,-0.75000001484716,0.677593174862472,-0.742591635727525,0.742591635727525,0.105694899813072,-0.105694899813072,-0.592388045878183,0.592388045878183,NA,NA,0,0,-1.18909300146001,1.18909300146001,0.527338628611369,-0.527338628611369,1.59581238554986,-1.59581238554986,-0.43574682887081,0.43574682887081,0.462318229998726,0.537681770001274,0.537681770001274,0.462318229998726,0.0510291279068133,0.486652642094461,0.513347357905539,0.001241708124747,-0.001241708124747,-0.0133071245315617,0.0133071245315617,NA,NA,0,0,-0.0344028253145979,0.0344028253145979,0.0175415720452289,-0.0175415720452289,0.047774943277994,-0.047774943277994,-0.0103901893051019,0.0103901893051019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0027691","A.Roberts",NA,NA,NA,NA,NA,NA,"00-0027103","K.Huber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
2019092200,"BUF","CIN","BUF","home","CIN","BUF",83,"2019-09-22",746,1646,3446,"Half1",0,3,0,1,1,0,"12:26","BUF 17",10,31,"(12:26) F.Gore up the middle to BUF 29 for 12 yards (D.Kirkpatrick).","run",12,0,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00294494235697319,0.188907741196521,0.0083451337182398,0.29387428488497,0.202744460744523,0.00351542334389218,0.299668013754881,0,0,0.072406839984688,1.18026274012287,0.437671104395343,-0.437671104395343,1.28595763993594,-1.28595763993594,-0.592388045878183,0.592388045878183,NA,NA,0,0,-1.18909300146001,1.18909300146001,0.527338628611369,-0.527338628611369,1.59581238554986,-1.59581238554986,-0.43574682887081,0.43574682887081,0.486652642094461,0.513347357905539,0.486652642094461,0.513347357905539,0.0361345885030409,0.522787230597502,0.477212769402498,0.0373762966277879,-0.0373762966277879,-0.0133071245315617,0.0133071245315617,NA,NA,0,0,-0.0344028253145979,0.0344028253145979,0.0175415720452289,-0.0175415720452289,0.047774943277994,-0.047774943277994,-0.0103901893051019,0.0103901893051019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0023500","F.Gore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",NA,"00-0029560",NA,"D.Kirkpatrick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
