"play_id","game_id","home_team","away_team","posteam","posteam_type","defteam","side_of_field","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","time","yrdln","ydstogo","ydsnet","desc","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","no_score_prob","opp_fg_prob","opp_safety_prob","opp_td_prob","fg_prob","safety_prob","td_prob","extra_point_prob","two_point_conversion_prob","ep","epa","total_home_epa","total_away_epa","total_home_rush_epa","total_away_rush_epa","total_home_pass_epa","total_away_pass_epa","air_epa","yac_epa","comp_air_epa","comp_yac_epa","total_home_comp_air_epa","total_away_comp_air_epa","total_home_comp_yac_epa","total_away_comp_yac_epa","total_home_raw_air_epa","total_away_raw_air_epa","total_home_raw_yac_epa","total_away_raw_yac_epa","wp","def_wp","home_wp","away_wp","wpa","home_wp_post","away_wp_post","total_home_rush_wpa","total_away_rush_wpa","total_home_pass_wpa","total_away_pass_wpa","air_wpa","yac_wpa","comp_air_wpa","comp_yac_wpa","total_home_comp_air_wpa","total_away_comp_air_wpa","total_home_comp_yac_wpa","total_away_comp_yac_wpa","total_home_raw_air_wpa","total_away_raw_air_wpa","total_home_raw_yac_wpa","total_away_raw_yac_wpa","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_inside_twenty","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_inside_twenty","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_id","passer_player_name","receiver_player_id","receiver_player_name","rusher_player_id","rusher_player_name","lateral_receiver_player_id","lateral_receiver_player_name","lateral_rusher_player_id","lateral_rusher_player_name","lateral_sack_player_id","lateral_sack_player_name","interception_player_id","interception_player_name","lateral_interception_player_id","lateral_interception_player_name","punt_returner_player_id","punt_returner_player_name","lateral_punt_returner_player_id","lateral_punt_returner_player_name","kickoff_returner_player_name","kickoff_returner_player_id","lateral_kickoff_returner_player_id","lateral_kickoff_returner_player_name","punter_player_id","punter_player_name","kicker_player_name","kicker_player_id","own_kickoff_recovery_player_id","own_kickoff_recovery_player_name","blocked_player_id","blocked_player_name","tackle_for_loss_1_player_id","tackle_for_loss_1_player_name","tackle_for_loss_2_player_id","tackle_for_loss_2_player_name","qb_hit_1_player_id","qb_hit_1_player_name","qb_hit_2_player_id","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_id","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_id","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_id","solo_tackle_2_player_id","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_id","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_id","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_id","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_id","assist_tackle_4_player_name","assist_tackle_4_team","pass_defense_1_player_id","pass_defense_1_player_name","pass_defense_2_player_id","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_id","fumbled_1_player_name","fumbled_2_player_id","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_id","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_id","fumble_recovery_2_player_name","return_team","return_yards","penalty_team","penalty_player_id","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv"
"37",2019110311,"BAL","NE","BAL","home","NE","NE",35,2019-11-03,900,1800,3600,"Half1",0,1,0,1,NA,0,"15:00","NE 35",0,75,"J.Bailey kicks 65 yards from NE 35 to end zone, Touchback.","kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.00137367959113161,0.162631509518862,0.00444072635822802,0.25417863378643,0.23308117414857,0.00365571302658065,0.340638563570199,0,0,0.814998475712213,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Bailey","00-0035280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"52",2019110311,"BAL","NE","BAL","home","NE","BAL",75,2019-11-03,900,1800,3600,"Half1",0,1,0,1,"1",0,"15:00","BAL 25",10,75,"(15:00) (Shotgun) L.Jackson pass short right to N.Boyle to BAL 27 for 2 yards (J.McCourty).","pass",2,1,0,1,0,0,0,"short","right",0,2,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00137367959113161,0.162631509518862,0.00444072635822802,0.25417863378643,0.23308117414857,0.00365571302658065,0.340638563570199,0,0,0.814998475712213,-0.445270876920631,-0.445270876920631,0.445270876920631,0,0,-0.445270876920631,0.445270876920631,-0.77085974164954,0.325588864728908,-0.77085974164954,0.325588864728908,-0.77085974164954,0.77085974164954,0.325588864728908,-0.325588864728908,-0.77085974164954,0.77085974164954,0.325588864728908,-0.325588864728908,0.500006821721935,0.499993178278065,0.500006821721935,0.499993178278065,-0.0106845673465659,0.489322254375369,0.510677745624631,0,0,-0.0106845673465659,0.0106845673465659,-0.02210373476823,0.0114191674216641,-0.02210373476823,0.0114191674216641,-0.02210373476823,0.02210373476823,0.0114191674216641,-0.0114191674216641,-0.02210373476823,0.02210373476823,0.0114191674216641,-0.0114191674216641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0034796","L.Jackson","00-0031598","N.Boyle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,"00-0027136",NA,"J.McCourty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"76",2019110311,"BAL","NE","BAL","home","NE","BAL",73,2019-11-03,861,1761,3561,"Half1",0,1,0,1,"2",0,"14:21","BAL 27",8,75,"(14:21) (Shotgun) M.Ingram right guard to BAL 30 for 3 yards (K.Van Noy; D.Shelton).","run",3,1,0,0,0,0,0,NA,NA,NA,NA,"right","guard",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00159906291813903,0.178287824671406,0.00471476218155815,0.277705815897424,0.221474499911053,0.00399768644504159,0.312220347975378,0,0,0.369727598791582,-0.388693500119305,-0.833964377039936,0.833964377039936,-0.388693500119305,0.388693500119305,-0.445270876920631,0.445270876920631,NA,NA,0,0,-0.77085974164954,0.77085974164954,0.325588864728908,-0.325588864728908,-0.77085974164954,0.77085974164954,0.325588864728908,-0.325588864728908,0.489322254375369,0.510677745624631,0.489322254375369,0.510677745624631,-0.00934365165599171,0.479978602719377,0.520021397280623,-0.00934365165599171,0.00934365165599171,-0.0106845673465659,0.0106845673465659,NA,NA,0,0,-0.02210373476823,0.02210373476823,0.0114191674216641,-0.0114191674216641,-0.02210373476823,0.02210373476823,0.0114191674216641,-0.0114191674216641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"00-0027966","M.Ingram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0031360","K.Van Noy","NE","00-0032143","D.Shelton","NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"97",2019110311,"BAL","NE","BAL","home","NE","BAL",70,2019-11-03,827,1727,3527,"Half1",0,1,0,1,"3",0,"13:47","BAL 30",5,75,"(13:47) (Shotgun) L.Jackson pass short middle to M.Brown to BAL 36 for 6 yards (S.Calhoun) [K.Van Noy].","pass",6,1,0,1,0,0,0,"short","middle",6,0,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00174256536460645,0.195792798587656,0.00460988281298064,0.300401766522987,0.195208340584659,0.00417858378432593,0.298066062342784,0,0,-0.0189659013277232,1.88391085291166,1.04994647587173,-1.04994647587173,-0.388693500119305,0.388693500119305,1.43863997599103,-1.43863997599103,1.88391085291166,0,1.88391085291166,0,1.11305111126212,-1.11305111126212,0.325588864728908,-0.325588864728908,1.11305111126212,-1.11305111126212,0.325588864728908,-0.325588864728908,0.479978602719377,0.520021397280623,0.479978602719377,0.520021397280623,0.0579597022051293,0.537938304924506,0.462061695075494,-0.00934365165599171,0.00934365165599171,0.0472751348585634,-0.0472751348585634,0.0579597022051293,0,0.0579597022051293,0,0.0358559674368993,-0.0358559674368993,0.0114191674216641,-0.0114191674216641,0.0358559674368993,-0.0358559674368993,0.0114191674216641,-0.0114191674216641,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0034796","L.Jackson","00-0035662","M.Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0031360","K.Van Noy",NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,"00-0033122",NA,"S.Calhoun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"121",2019110311,"BAL","NE","BAL","home","NE","BAL",64,2019-11-03,785,1685,3485,"Half1",0,1,0,1,"1",0,"13:05","BAL 36",10,75,"(13:05) (Shotgun) M.Ingram right end pushed ob at BAL 49 for 13 yards (P.Chung).","run",13,1,0,0,0,0,0,NA,NA,NA,NA,"right","end",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00172436473631329,0.125767008727039,0.0017638379635857,0.195392798797014,0.273910951373866,0.00365937553311014,0.397781662869072,0,0,1.86494495158394,1.02761646088584,2.07756293675757,-2.07756293675757,0.638922960766533,-0.638922960766533,1.43863997599103,-1.43863997599103,NA,NA,0,0,1.11305111126212,-1.11305111126212,0.325588864728908,-0.325588864728908,1.11305111126212,-1.11305111126212,0.325588864728908,-0.325588864728908,0.537938304924506,0.462061695075494,0.537938304924506,0.462061695075494,0.0338814952704097,0.571819800194916,0.428180199805084,0.024537843614418,-0.024537843614418,0.0472751348585634,-0.0472751348585634,NA,NA,0,0,0.0358559674368993,-0.0358559674368993,0.0114191674216641,-0.0114191674216641,0.0358559674368993,-0.0358559674368993,0.0114191674216641,-0.0114191674216641,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0027966","M.Ingram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,"00-0027010",NA,"P.Chung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"147",2019110311,"BAL","NE","BAL","home","NE","BAL",51,2019-11-03,752,1652,3452,"Half1",0,1,0,1,"1",0,"12:32","BAL 49",10,75,"(12:32) (Shotgun) L.Jackson pass short middle to M.Brown pushed ob at NE 25 for 26 yards (D.McCourty).","pass",26,1,0,1,0,0,0,"short","middle",-4,30,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00142143139936836,0.0888270444490109,0.000567704315626255,0.137567392740304,0.315156261061512,0.00350804835871942,0.452952117675459,0,0,2.89256141246978,1.34780199738237,3.42536493413994,-3.42536493413994,0.638922960766533,-0.638922960766533,2.7864419733734,-2.7864419733734,-0.932669678897764,2.28047167628014,-0.932669678897764,2.28047167628014,0.18038143236436,-0.18038143236436,2.60606054100904,-2.60606054100904,0.18038143236436,-0.18038143236436,2.60606054100904,-2.60606054100904,0.571819800194916,0.428180199805084,0.571819800194916,0.428180199805084,0.0465460091933835,0.618365809388299,0.381634190611701,0.024537843614418,-0.024537843614418,0.0938211440519469,-0.0938211440519469,-0.0291640267687033,0.0757100359620868,-0.0291640267687033,0.0757100359620868,0.00669194066819595,-0.00669194066819595,0.0871292033837509,-0.0871292033837509,0.00669194066819595,-0.00669194066819595,0.0871292033837509,-0.0871292033837509,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0034796","L.Jackson","00-0035662","M.Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,"00-0027647",NA,"D.McCourty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"180",2019110311,"BAL","NE","BAL","home","NE","NE",25,2019-11-03,719,1619,3419,"Half1",0,1,0,1,"1",0,"11:59","NE 25",10,75,"(11:59) (Shotgun) L.Jackson right guard to NE 20 for 5 yards (K.Van Noy).","run",5,1,0,0,0,0,0,NA,NA,NA,NA,"right","guard",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.000755167709324278,0.0396125373254485,5.26003999513806e-05,0.0610383230912287,0.372200506289458,0.00288261817869945,0.52345824700589,0,0,4.24036340985215,-0.0651134167578604,3.36025151738208,-3.36025151738208,0.573809544008673,-0.573809544008673,2.7864419733734,-2.7864419733734,NA,NA,0,0,0.18038143236436,-0.18038143236436,2.60606054100904,-2.60606054100904,0.18038143236436,-0.18038143236436,2.60606054100904,-2.60606054100904,0.618365809388299,0.381634190611701,0.618365809388299,0.381634190611701,-0.000982242719301696,0.617383566668998,0.382616433331002,0.0235556008951163,-0.0235556008951163,0.0938211440519469,-0.0938211440519469,NA,NA,0,0,0.00669194066819595,-0.00669194066819595,0.0871292033837509,-0.0871292033837509,0.00669194066819595,-0.00669194066819595,0.0871292033837509,-0.0871292033837509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0034796","L.Jackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,"00-0031360",NA,"K.Van Noy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"201",2019110311,"BAL","NE","BAL","home","NE","NE",20,2019-11-03,681,1581,3381,"Half1",0,1,0,1,"2",0,"11:21","NE 20",5,75,"(11:21) (Shotgun) L.Jackson pass short left to H.Hurst pushed ob at NE 13 for 7 yards (D.Hightower).","pass",7,1,0,1,0,0,0,"short","left",0,7,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.000806113622376697,0.0362506416440482,6.87898846377438e-05,0.0561667025314247,0.413923112789736,0.00279107990959208,0.489993559618184,0,0,4.17524999309429,0.426632855329748,3.78688437271183,-3.78688437271183,0.573809544008673,-0.573809544008673,3.21307482870315,-3.21307482870315,-0.705029933802861,1.13166278913261,-0.705029933802861,1.13166278913261,-0.524648501438501,0.524648501438501,3.73772333014165,-3.73772333014165,-0.524648501438501,0.524648501438501,3.73772333014165,-3.73772333014165,0.617383566668998,0.382616433331002,0.617383566668998,0.382616433331002,0.0159053145689152,0.633288881237913,0.366711118762087,0.0235556008951163,-0.0235556008951163,0.109726458620862,-0.109726458620862,-0.0237733922549734,0.0396787068238886,-0.0237733922549734,0.0396787068238886,-0.0170814515867775,0.0170814515867775,0.12680791020764,-0.12680791020764,-0.0170814515867775,0.0170814515867775,0.12680791020764,-0.12680791020764,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0034796","L.Jackson","00-0034830","H.Hurst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,"00-0029669",NA,"D.Hightower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"230",2019110311,"BAL","NE","BAL","home","NE","NE",13,2019-11-03,642,1542,3342,"Half1",0,1,0,1,"1",0,"10:42","NE 13",10,75,"(10:42) (Shotgun) L.Jackson right guard to NE 8 for 5 yards (K.Van Noy).","run",5,1,0,0,0,0,0,NA,NA,NA,NA,"right","guard",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.000697735325129794,0.0262686944422226,1.68748404320439e-05,0.0402881252448395,0.388422928387845,0.00253374386696121,0.54177189789257,0,0,4.60188284842404,-0.132026625899713,3.65485774681211,-3.65485774681211,0.44178291810896,-0.44178291810896,3.21307482870315,-3.21307482870315,NA,NA,0,0,-0.524648501438501,0.524648501438501,3.73772333014165,-3.73772333014165,-0.524648501438501,0.524648501438501,3.73772333014165,-3.73772333014165,0.633288881237913,0.366711118762087,0.633288881237913,0.366711118762087,-0.00343935428729569,0.629849526950617,0.370150473049383,0.0201162466078206,-0.0201162466078206,0.109726458620862,-0.109726458620862,NA,NA,0,0,-0.0170814515867775,0.0170814515867775,0.12680791020764,-0.12680791020764,-0.0170814515867775,0.0170814515867775,0.12680791020764,-0.12680791020764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0034796","L.Jackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,"00-0031360",NA,"K.Van Noy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"251",2019110311,"BAL","NE","BAL","home","NE","NE",8,2019-11-03,599,1499,3299,"Half1",0,1,0,1,"2",0,"09:59","NE 8",5,75,"(9:59) (Shotgun) M.Ingram up the middle to NE 5 for 3 yards (K.Van Noy).","run",3,1,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.000751164898969426,0.0234949763044318,2.49760932214463e-05,0.0363862930554131,0.442106780369518,0.00237517020914433,0.494860639069302,0,0,4.46985622252433,-0.408432212854476,3.24642553395764,-3.24642553395764,0.0333507052544839,-0.0333507052544839,3.21307482870315,-3.21307482870315,NA,NA,0,0,-0.524648501438501,0.524648501438501,3.73772333014165,-3.73772333014165,-0.524648501438501,0.524648501438501,3.73772333014165,-3.73772333014165,0.629849526950617,0.370150473049383,0.629849526950617,0.370150473049383,-0.0129451855064754,0.616904341444142,0.383095658555858,0.00717106110134524,-0.00717106110134524,0.109726458620862,-0.109726458620862,NA,NA,0,0,-0.0170814515867775,0.0170814515867775,0.12680791020764,-0.12680791020764,-0.0170814515867775,0.0170814515867775,0.12680791020764,-0.12680791020764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0027966","M.Ingram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,"00-0031360",NA,"K.Van Noy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"272",2019110311,"BAL","NE","BAL","home","NE","NE",5,2019-11-03,559,1459,3259,"Half1",0,1,0,1,"3",0,"09:19","NE 5",2,75,"(9:19) (Shotgun) G.Edwards up the middle to NE 6 for -1 yards (L.Guy).","run",-1,1,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.000858375858243897,0.0216531786766791,3.15943173353772e-05,0.0350650872126561,0.553368278827239,0.00227337748269865,0.386750107625148,0,0,4.06142400966985,-1.23181838767657,2.01460714628106,-2.01460714628106,-1.19846768242209,1.19846768242209,3.21307482870315,-3.21307482870315,NA,NA,0,0,-0.524648501438501,0.524648501438501,3.73772333014165,-3.73772333014165,-0.524648501438501,0.524648501438501,3.73772333014165,-3.73772333014165,0.616904341444142,0.383095658555858,0.616904341444142,0.383095658555858,-0.0396562919841235,0.577248049460018,0.422751950539982,-0.0324852308827782,0.0324852308827782,0.109726458620862,-0.109726458620862,NA,NA,0,0,-0.0170814515867775,0.0170814515867775,0.12680791020764,-0.12680791020764,-0.0170814515867775,0.0170814515867775,0.12680791020764,-0.12680791020764,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0034184","G.Edwards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0028171","L.Guy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NE",NA,"00-0028171",NA,"L.Guy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
