"play_id","game_id","home_team","away_team","posteam","posteam_type","defteam","side_of_field","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","time","yrdln","ydstogo","ydsnet","desc","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","no_score_prob","opp_fg_prob","opp_safety_prob","opp_td_prob","fg_prob","safety_prob","td_prob","extra_point_prob","two_point_conversion_prob","ep","epa","total_home_epa","total_away_epa","total_home_rush_epa","total_away_rush_epa","total_home_pass_epa","total_away_pass_epa","air_epa","yac_epa","comp_air_epa","comp_yac_epa","total_home_comp_air_epa","total_away_comp_air_epa","total_home_comp_yac_epa","total_away_comp_yac_epa","total_home_raw_air_epa","total_away_raw_air_epa","total_home_raw_yac_epa","total_away_raw_yac_epa","wp","def_wp","home_wp","away_wp","wpa","home_wp_post","away_wp_post","total_home_rush_wpa","total_away_rush_wpa","total_home_pass_wpa","total_away_pass_wpa","air_wpa","yac_wpa","comp_air_wpa","comp_yac_wpa","total_home_comp_air_wpa","total_away_comp_air_wpa","total_home_comp_yac_wpa","total_away_comp_yac_wpa","total_home_raw_air_wpa","total_away_raw_air_wpa","total_home_raw_yac_wpa","total_away_raw_yac_wpa","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_inside_twenty","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_inside_twenty","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_id","passer_player_name","receiver_player_id","receiver_player_name","rusher_player_id","rusher_player_name","lateral_receiver_player_id","lateral_receiver_player_name","lateral_rusher_player_id","lateral_rusher_player_name","lateral_sack_player_id","lateral_sack_player_name","interception_player_id","interception_player_name","lateral_interception_player_id","lateral_interception_player_name","punt_returner_player_id","punt_returner_player_name","lateral_punt_returner_player_id","lateral_punt_returner_player_name","kickoff_returner_player_name","kickoff_returner_player_id","lateral_kickoff_returner_player_id","lateral_kickoff_returner_player_name","punter_player_id","punter_player_name","kicker_player_name","kicker_player_id","own_kickoff_recovery_player_id","own_kickoff_recovery_player_name","blocked_player_id","blocked_player_name","tackle_for_loss_1_player_id","tackle_for_loss_1_player_name","tackle_for_loss_2_player_id","tackle_for_loss_2_player_name","qb_hit_1_player_id","qb_hit_1_player_name","qb_hit_2_player_id","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_id","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_id","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_id","solo_tackle_2_player_id","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_id","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_id","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_id","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_id","assist_tackle_4_player_name","assist_tackle_4_team","pass_defense_1_player_id","pass_defense_1_player_name","pass_defense_2_player_id","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_id","fumbled_1_player_name","fumbled_2_player_id","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_id","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_id","fumble_recovery_2_player_name","return_team","return_yards","penalty_team","penalty_player_id","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv"
"37",2009112905,"NYJ","CAR","CAR","away","NYJ","NYJ",30,2009-11-29,900,1800,3600,"Half1",0,1,0,1,NA,0,"15:00","NYJ 30",0,0,"J.Feely kicks 70 yards from NYJ 30 to end zone, Touchback.","kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.00150632650258975,0.179748786264307,0.00663910837844864,0.281137706070735,0.213700143484249,0.00359231277883968,0.31367561652083,0,0,0.323525853611276,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Feely","00-0019770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"55",2009112905,"NYJ","CAR","CAR","away","NYJ","CAR",80,2009-11-29,900,1800,3600,"Half1",0,1,0,1,"1",0,"15:00","CAR 20",10,-3,"(15:00) D.Williams left end to CAR 17 for -3 yards (S.Ellis).","run",-3,0,0,0,0,0,0,NA,NA,NA,NA,"left","end",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00150632650258975,0.179748786264307,0.00663910837844864,0.281137706070735,0.213700143484249,0.00359231277883968,0.31367561652083,0,0,0.323525853611276,-1.19919101945029,1.19919101945029,-1.19919101945029,1.19919101945029,-1.19919101945029,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.485674986096914,0.514325013903086,0.514325013903086,0.485674986096914,-0.0330973525813542,0.547422366484441,0.452577633515559,0.0330973525813542,-0.0330973525813542,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0024242","D.Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0019545","S.Ellis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYJ",NA,"00-0019545",NA,"S.Ellis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"76",2009112905,"NYJ","CAR","CAR","away","NYJ","CAR",83,2009-11-29,869,1769,3569,"Half1",0,1,0,1,"2",0,"14:29","CAR 17",13,-7,"(14:29) D.Williams left guard to CAR 13 for -4 yards (M.Douglas).","run",-4,0,0,0,0,0,0,NA,NA,NA,NA,"left","guard",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.0017812027265905,0.220198999667903,0.0102185832648985,0.345946996561881,0.176728202280255,0.00381374794048104,0.24131226755799,0,0,-0.875665165839017,-1.41603726799484,2.61522828744513,-2.61522828744513,2.61522828744513,-2.61522828744513,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.452577633515559,0.547422366484441,0.547422366484441,0.452577633515559,-0.0402165004504486,0.587638866934889,0.412361133065111,0.0733138530318027,-0.0733138530318027,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0024242","D.Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0004472","M.Douglas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYJ",NA,"00-0004472",NA,"M.Douglas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"97",2009112905,"NYJ","CAR","CAR","away","NYJ","CAR",87,2009-11-29,824,1724,3524,"Half1",0,1,0,1,"3",0,"13:44","CAR 13",17,11,"(13:44) D.Williams left tackle to CAR 31 for 18 yards (J.Leonhard).","run",18,0,0,0,0,0,0,NA,NA,NA,NA,"left","tackle",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00204723658874061,0.275426611114928,0.0135533870105636,0.423407938427671,0.113041341739601,0.00424973570450234,0.168273749413993,0,0,-2.29170243383385,3.70864539666341,-1.09341710921828,1.09341710921828,-1.09341710921828,1.09341710921828,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.412361133065111,0.587638866934889,0.587638866934889,0.412361133065111,0.112022276753611,0.475616590181278,0.524383409818722,-0.0387084237218083,0.0387084237218083,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0024242","D.Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYJ",NA,"00-0023287",NA,"J.Leonhard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"118",2009112905,"NYJ","CAR","CAR","away","NYJ","CAR",69,2009-11-29,785,1685,3485,"Half1",0,1,0,1,"1",0,"13:05","CAR 31",10,17,"(13:05) J.Delhomme pass short right to D.Williams to CAR 37 for 6 yards (D.Harris).","pass",6,0,0,1,0,0,0,"short","right",3,3,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00192813547393981,0.141743367338499,0.00268898990901981,0.22037552016028,0.256083592474114,0.00366677082926527,0.373513623814883,0,0,1.41694296282956,0.300369568470669,-1.39378667768895,1.39378667768895,-1.09341710921828,1.09341710921828,-0.300369568470669,0.300369568470669,-0.45435041915061,0.754719987621279,-0.45435041915061,0.754719987621279,0.45435041915061,-0.45435041915061,-0.754719987621279,0.754719987621279,0.45435041915061,-0.45435041915061,-0.754719987621279,0.754719987621279,0.524383409818722,0.475616590181278,0.475616590181278,0.524383409818722,0.0112087655344525,0.464407824646826,0.535592175353174,-0.0387084237218083,0.0387084237218083,-0.0112087655344525,0.0112087655344525,-0.013213551434625,0.0244223169690775,-0.013213551434625,0.0244223169690775,0.013213551434625,-0.013213551434625,-0.0244223169690775,0.0244223169690775,0.013213551434625,-0.013213551434625,-0.0244223169690775,0.0244223169690775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0004161","J.Delhomme","00-0024242","D.Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYJ",NA,"00-0025434",NA,"D.Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"142",2009112905,"NYJ","CAR","CAR","away","NYJ","CAR",63,2009-11-29,738,1638,3438,"Half1",0,1,0,1,"2",0,"12:18","CAR 37",4,11,"(12:18) (No Huddle) J.Delhomme sacked at CAR 31 for -6 yards (D.Harris).","pass",-6,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00215547254019521,0.133234434270619,0.00193669103482093,0.203943139891324,0.260758903896111,0.00391700496716923,0.394054353399761,0,0,1.71731253130023,-2.04311616135861,0.64932948366966,-0.64932948366966,-1.09341710921828,1.09341710921828,1.74274659288794,-1.74274659288794,NA,NA,0,0,0.45435041915061,-0.45435041915061,-0.754719987621279,0.754719987621279,0.45435041915061,-0.45435041915061,-0.754719987621279,0.754719987621279,0.535592175353174,0.464407824646826,0.464407824646826,0.535592175353174,-0.0592957378541792,0.523703562501005,0.476296437498995,-0.0387084237218083,0.0387084237218083,0.0480869723197267,-0.0480869723197267,NA,NA,0,0,0.013213551434625,-0.013213551434625,-0.0244223169690775,0.0244223169690775,0.013213551434625,-0.013213551434625,-0.0244223169690775,0.0244223169690775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0004161","J.Delhomme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0025434","D.Harris",NA,NA,"00-0025434","D.Harris",NA,NA,NA,NA,NA,NA,NA,NA,"NYJ",NA,"00-0025434",NA,"D.Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"161",2009112905,"NYJ","CAR","CAR","away","NYJ","CAR",69,2009-11-29,713,1613,3413,"Half1",0,1,0,1,"3",0,"11:53","CAR 31",10,24,"(11:53) (No Huddle) J.Stewart left tackle to CAR 44 for 13 yards (E.Smith).","run",13,0,1,0,0,0,0,NA,NA,NA,NA,"left","tackle",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00270597206635536,0.202338080283878,0.00459290629400565,0.313629561923729,0.206923331069696,0.00472753497961447,0.265082613382721,0,0,-0.325803630058384,2.87149203934739,-2.22216255567773,2.22216255567773,-3.96490914856567,3.96490914856567,1.74274659288794,-1.74274659288794,NA,NA,0,0,0.45435041915061,-0.45435041915061,-0.754719987621279,0.754719987621279,0.45435041915061,-0.45435041915061,-0.754719987621279,0.754719987621279,0.476296437498995,0.523703562501005,0.523703562501005,0.476296437498995,0.0873181964618887,0.436385366039116,0.563614633960884,-0.126026620183697,0.126026620183697,0.0480869723197267,-0.0480869723197267,NA,NA,0,0,0.013213551434625,-0.013213551434625,-0.0244223169690775,0.0244223169690775,0.013213551434625,-0.013213551434625,-0.0244223169690775,0.0244223169690775,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0026153","J.Stewart",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYJ",NA,"00-0024312",NA,"E.Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"182",2009112905,"NYJ","CAR","CAR","away","NYJ","CAR",56,2009-11-29,671,1571,3371,"Half1",0,1,0,1,"1",0,"11:11","CAR 44",10,24,"(11:11) (No Huddle) J.Delhomme pass incomplete short left to S.Smith (D.Revis).","pass",0,0,1,1,0,0,0,"short","left",4,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00223980574175844,0.101528203035886,0.000876686493504023,0.15687137762966,0.300361094031513,0.00356341575539928,0.434559417312279,0,0,2.54568840928901,-0.650048378607458,-1.57211417707027,1.57211417707027,-3.96490914856567,3.96490914856567,2.3927949714954,-2.3927949714954,-0.323618864891385,-0.326429513716073,0,0,0.45435041915061,-0.45435041915061,-0.754719987621279,0.754719987621279,0.777969284041995,-0.777969284041995,-0.428290473905206,0.428290473905206,0.563614633960884,0.436385366039116,0.436385366039116,0.563614633960884,-0.0201524848109531,0.456537850850069,0.543462149149931,-0.126026620183697,0.126026620183697,0.0682394571306798,-0.0682394571306798,-0.0100135042740259,-0.0101389805369272,0,0,0.013213551434625,-0.013213551434625,-0.0244223169690775,0.0244223169690775,0.0232270557086509,-0.0232270557086509,-0.0142833364321503,0.0142833364321503,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0004161","J.Delhomme","00-0020337","S.Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0025401","D.Revis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"204",2009112905,"NYJ","CAR","CAR","away","NYJ","CAR",56,2009-11-29,667,1567,3367,"Half1",0,1,0,1,"2",0,"11:07","CAR 44",10,27,"(11:07) (No Huddle) D.Williams right tackle to CAR 47 for 3 yards (B.Thomas, D.Harris).","run",3,0,1,0,0,0,0,NA,NA,NA,NA,"right","tackle",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00243348575926984,0.120767469703373,0.00145652837693645,0.188340341381781,0.302538366775838,0.00392477402582412,0.380539033976978,0,0,1.89564003068155,-0.488232085771207,-1.08388209129906,1.08388209129906,-3.47667706279446,3.47667706279446,2.3927949714954,-2.3927949714954,NA,NA,0,0,0.45435041915061,-0.45435041915061,-0.754719987621279,0.754719987621279,0.777969284041995,-0.777969284041995,-0.428290473905206,0.428290473905206,0.543462149149931,0.456537850850069,0.456537850850069,0.543462149149931,-0.0135180763017869,0.470055927151856,0.529944072848144,-0.11250854388191,0.11250854388191,0.0682394571306798,-0.0682394571306798,NA,NA,0,0,0.013213551434625,-0.013213551434625,-0.0244223169690775,0.0244223169690775,0.0232270557086509,-0.0232270557086509,-0.0142833364321503,0.0142833364321503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"00-0024242","D.Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0021081","B.Thomas","NYJ","00-0025434","D.Harris","NYJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"225",2009112905,"NYJ","CAR","CAR","away","NYJ","CAR",53,2009-11-29,620,1520,3320,"Half1",0,1,0,1,"3",0,"10:20","CAR 47",7,40,"(10:20) (No Huddle) J.Delhomme pass short right to D.Rosario to NYJ 40 for 13 yards (D.Coleman).","pass",13,0,1,1,0,0,0,"short","right",8,5,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00293895353795693,0.134765968545324,0.00153986672024229,0.2109388718336,0.308585540917199,0.00460290500986723,0.33662789343581,0,0,1.40740794491034,2.19050881272228,-3.27439090402134,3.27439090402134,-3.47667706279446,3.47667706279446,0.202286158773122,-0.202286158773122,2.08258255155054,0.107926261171732,2.08258255155054,0.107926261171732,-1.62823213239993,1.62823213239993,-0.862646248793011,0.862646248793011,-1.30461326750855,1.30461326750855,-0.536216735076938,0.536216735076938,0.529944072848144,0.470055927151856,0.470055927151856,0.529944072848144,0.0705679037983529,0.399488023353503,0.600511976646497,-0.11250854388191,0.11250854388191,-0.00232844666767307,0.00232844666767307,0.0660225581468693,0.00454534565148357,0.0660225581468693,0.00454534565148357,-0.0528090067122443,0.0528090067122443,-0.0289676626205611,0.0289676626205611,-0.0427955024382184,0.0427955024382184,-0.0188286820836339,0.0188286820836339,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0004161","J.Delhomme","00-0025542","D.Rosario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYJ",NA,"00-0024403",NA,"D.Coleman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"249",2009112905,"NYJ","CAR","CAR","away","NYJ","NYJ",40,2009-11-29,581,1481,3281,"Half1",0,1,0,1,"1",0,"09:41","NYJ 40",10,41,"(9:41) (No Huddle) J.Stewart right tackle to NYJ 39 for 1 yard (R.Pitoitua, S.Ellis).","run",1,0,1,0,0,0,0,NA,NA,NA,NA,"right","tackle",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00206727225481544,0.0633958201044466,0.000207933754568098,0.0973906935042082,0.343028410003941,0.00323987653468356,0.490669993843337,0,0,3.59791675763262,-0.419680837829315,-2.85471006619203,2.85471006619203,-3.05699622496515,3.05699622496515,0.202286158773122,-0.202286158773122,NA,NA,0,0,-1.62823213239993,1.62823213239993,-0.862646248793011,0.862646248793011,-1.30461326750855,1.30461326750855,-0.536216735076938,0.536216735076938,0.600511976646497,0.399488023353503,0.399488023353503,0.600511976646497,-0.0128303531022551,0.412318376455759,0.587681623544241,-0.0996781907796549,0.0996781907796549,-0.00232844666767307,0.00232844666767307,NA,NA,0,0,-0.0528090067122443,0.0528090067122443,-0.0289676626205611,0.0289676626205611,-0.0427955024382184,0.0427955024382184,-0.0188286820836339,0.0188286820836339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"00-0026153","J.Stewart",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0026016","R.Pitoitua","NYJ","00-0019545","S.Ellis","NYJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"270",2009112905,"NYJ","CAR","CAR","away","NYJ","NYJ",39,2009-11-29,544,1444,3244,"Half1",0,1,0,1,"2",0,"09:04","NYJ 39",9,41,"(9:04) (No Huddle) J.Delhomme pass incomplete short middle to J.Stewart (B.Scott).","pass",0,0,1,1,0,0,0,"short","middle",4,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00253561066734032,0.0724536960425754,0.000377828054148135,0.112633839822977,0.370442971546405,0.0034863497809856,0.438069704085568,0,0,3.1782359198033,-0.828779863508752,-2.02593020268327,2.02593020268327,-3.05699622496515,3.05699622496515,1.03106602228187,-1.03106602228187,-0.582900176069137,-0.245879687439615,0,0,-1.62823213239993,1.62823213239993,-0.862646248793011,0.862646248793011,-0.721713091439412,0.721713091439412,-0.290337047637323,0.290337047637323,0.587681623544241,0.412318376455759,0.412318376455759,0.587681623544241,-0.0264861952181732,0.438804571673932,0.561195428326068,-0.0996781907796549,0.0996781907796549,0.0241577485505001,-0.0241577485505001,-0.0186850748586006,-0.00780112035957259,0,0,-0.0528090067122443,0.0528090067122443,-0.0289676626205611,0.0289676626205611,-0.0241104275796178,0.0241104275796178,-0.0110275617240613,0.0110275617240613,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0004161","J.Delhomme","00-0026153","J.Stewart",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0020873","B.Scott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
