"","play_id","game_id","home_team","away_team","posteam","posteam_type","defteam","side_of_field","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","time","yrdln","ydstogo","ydsnet","desc","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","no_score_prob","opp_fg_prob","opp_safety_prob","opp_td_prob","fg_prob","safety_prob","td_prob","extra_point_prob","two_point_conversion_prob","ep","epa","total_home_epa","total_away_epa","total_home_rush_epa","total_away_rush_epa","total_home_pass_epa","total_away_pass_epa","air_epa","yac_epa","comp_air_epa","comp_yac_epa","total_home_comp_air_epa","total_away_comp_air_epa","total_home_comp_yac_epa","total_away_comp_yac_epa","total_home_raw_air_epa","total_away_raw_air_epa","total_home_raw_yac_epa","total_away_raw_yac_epa","wp","def_wp","home_wp","away_wp","wpa","home_wp_post","away_wp_post","total_home_rush_wpa","total_away_rush_wpa","total_home_pass_wpa","total_away_pass_wpa","air_wpa","yac_wpa","comp_air_wpa","comp_yac_wpa","total_home_comp_air_wpa","total_away_comp_air_wpa","total_home_comp_yac_wpa","total_away_comp_yac_wpa","total_home_raw_air_wpa","total_away_raw_air_wpa","total_home_raw_yac_wpa","total_away_raw_yac_wpa","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_inside_twenty","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_inside_twenty","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_id","passer_player_name","receiver_player_id","receiver_player_name","rusher_player_id","rusher_player_name","lateral_receiver_player_id","lateral_receiver_player_name","lateral_rusher_player_id","lateral_rusher_player_name","lateral_sack_player_id","lateral_sack_player_name","interception_player_id","interception_player_name","lateral_interception_player_id","lateral_interception_player_name","punt_returner_player_id","punt_returner_player_name","lateral_punt_returner_player_id","lateral_punt_returner_player_name","kickoff_returner_player_name","kickoff_returner_player_id","lateral_kickoff_returner_player_id","lateral_kickoff_returner_player_name","punter_player_id","punter_player_name","kicker_player_name","kicker_player_id","own_kickoff_recovery_player_id","own_kickoff_recovery_player_name","blocked_player_id","blocked_player_name","tackle_for_loss_1_player_id","tackle_for_loss_1_player_name","tackle_for_loss_2_player_id","tackle_for_loss_2_player_name","qb_hit_1_player_id","qb_hit_1_player_name","qb_hit_2_player_id","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_id","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_id","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_id","solo_tackle_2_player_id","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_id","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_id","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_id","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_id","assist_tackle_4_player_name","assist_tackle_4_team","pass_defense_1_player_id","pass_defense_1_player_name","pass_defense_2_player_id","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_id","fumbled_1_player_name","fumbled_2_player_id","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_id","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_id","fumble_recovery_2_player_name","return_team","return_yards","penalty_team","penalty_player_id","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv"
"1","36",2019090801,"CLE","TEN","CLE","home","TEN","TEN",35,2019-09-08,900,1800,3600,"Half1",0,1,0,1,NA,0,"15:00","TEN 35",0,73,"C.Santos kicks 70 yards from TEN 35 to CLE -5. D.Hilliard to CLE 27 for 32 yards (D.Jennings).","kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.00137367959113161,0.162631509518862,0.00444072635822802,0.25417863378643,0.23308117414857,0.00365571302658065,0.340638563570199,0,0,0.814998475712213,0.194104168311263,0.194104168311263,-0.194104168311263,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D.Hilliard","00-0034253",NA,NA,NA,NA,"C.Santos","00-0031203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEN",NA,"00-0031972",NA,"D.Jennings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE",32,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"2","58",2019090801,"CLE","TEN","CLE","home","TEN","CLE",73,2019-09-08,896,1796,3596,"Half1",0,1,0,1,"1",0,"14:56","CLE 27",10,73,"(14:56) B.Mayfield pass incomplete short right to R.Higgins (J.Brown).","pass",0,0,0,1,0,0,0,"short","right",11,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00134197984602409,0.155825619943422,0.00377037909588272,0.243433261266789,0.240722920085745,0.00367130953583392,0.351234530226304,0,0,1.00910264402348,-0.764381091001603,-0.570276922690339,0.570276922690339,0,0,-0.764381091001603,0.764381091001603,1.00025277437673,-1.76463386537833,0,0,0,0,0,0,1.00025277437673,-1.00025277437673,-1.76463386537833,1.76463386537833,0.505949767688059,0.494050232311941,0.505949767688059,0.494050232311941,-0.0220309848673962,0.483918782820662,0.516081217179338,0,0,-0.0220309848673962,0.0220309848673962,0.0304272013549572,-0.0524581862223535,0,0,0,0,0,0,0.0304272013549572,-0.0304272013549572,-0.0524581862223535,0.0524581862223535,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0034855","B.Mayfield","00-0032977","R.Higgins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0033954","J.Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"3","80",2019090801,"CLE","TEN","CLE","home","TEN","CLE",73,2019-09-08,891,1791,3591,"Half1",0,1,0,1,"2",0,"14:51","CLE 27",10,73,"(14:51) (Shotgun) B.Mayfield pass short right to R.Higgins to CLE 38 for 11 yards (R.Evans).","pass",11,1,0,1,0,0,0,"short","right",9,2,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.001409866236713,0.181333804209417,0.00497793572129935,0.284138082654805,0.222322832779162,0.00400908629027145,0.301808392108333,0,0,0.244721553021874,1.77450562889387,1.20422870620353,-1.20422870620353,0,0,1.01012453789227,-1.01012453789227,-0.13821629931955,1.91272192821342,-0.13821629931955,1.91272192821342,-0.13821629931955,0.13821629931955,1.91272192821342,-1.91272192821342,0.862036475057177,-0.862036475057177,0.148088062835092,-0.148088062835092,0.483918782820662,0.516081217179338,0.483918782820662,0.516081217179338,0.0550422030690148,0.538960985889677,0.461039014110323,0,0,0.0330112182016186,-0.0330112182016186,-0.00367513610119485,0.0587173391702097,-0.00367513610119485,0.0587173391702097,-0.00367513610119485,0.00367513610119485,0.0587173391702097,-0.0587173391702097,0.0267520652537624,-0.0267520652537624,0.00625915294785617,-0.00625915294785617,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0034855","B.Mayfield","00-0032977","R.Higgins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEN",NA,"00-0034743",NA,"R.Evans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"4","104",2019090801,"CLE","TEN","CLE","home","TEN","CLE",62,2019-09-08,852,1752,3552,"Half1",0,1,0,1,"1",0,"14:12","CLE 38",10,73,"(14:12) (Shotgun) J.Landry left end pushed ob at CLE 48 for 10 yards (R.Evans). Lateral Pass to 80 J. Laundry","run",10,1,0,0,0,0,0,NA,NA,NA,NA,"left","end",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00125794181060897,0.120061563857651,0.00149363055461338,0.186947704671797,0.280581711807441,0.00366283984140825,0.405994607456481,0,0,2.01922718191575,0.788359550559747,1.99258825676328,-1.99258825676328,0.788359550559747,-0.788359550559747,1.01012453789227,-1.01012453789227,NA,NA,0,0,-0.13821629931955,0.13821629931955,1.91272192821342,-1.91272192821342,0.862036475057177,-0.862036475057177,0.148088062835092,-0.148088062835092,0.538960985889677,0.461039014110323,0.538960985889677,0.461039014110323,0.0266338921548295,0.565594878044507,0.434405121955493,0.0266338921548295,-0.0266338921548295,0.0330112182016186,-0.0330112182016186,NA,NA,0,0,-0.00367513610119485,0.00367513610119485,0.0587173391702097,-0.0587173391702097,0.0267520652537624,-0.0267520652537624,0.00625915294785617,-0.00625915294785617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0031382","J.Landry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEN",NA,"00-0034743",NA,"R.Evans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"5","125",2019090801,"CLE","TEN","CLE","home","TEN","CLE",52,2019-09-08,821,1721,3521,"Half1",0,1,0,1,"1",0,"13:41","CLE 48",10,73,"(13:41) (Shotgun) N.Chubb left guard to TEN 42 for 10 yards (J.Brown; R.Evans).","run",10,1,0,0,0,0,0,NA,NA,NA,NA,"left","guard",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00110768564611893,0.0917541908667249,0.000623561801986892,0.142493378383064,0.312223678833967,0.00354069808355493,0.448256806384583,0,0,2.80758673247549,0.647868872057351,2.64045712882063,-2.64045712882063,1.4362284226171,-1.4362284226171,1.01012453789227,-1.01012453789227,NA,NA,0,0,-0.13821629931955,0.13821629931955,1.91272192821342,-1.91272192821342,0.862036475057177,-0.862036475057177,0.148088062835092,-0.148088062835092,0.565594878044507,0.434405121955493,0.565594878044507,0.434405121955493,0.0234930841664558,0.589087962210962,0.410912037789038,0.0501269763212853,-0.0501269763212853,0.0330112182016186,-0.0330112182016186,NA,NA,0,0,-0.00367513610119485,0.00367513610119485,0.0587173391702097,-0.0587173391702097,0.0267520652537624,-0.0267520652537624,0.00625915294785617,-0.00625915294785617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"00-0034791","N.Chubb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0033954","J.Brown","TEN","00-0034743","R.Evans","TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"6","150",2019090801,"CLE","TEN","CLE","home","TEN","TEN",42,2019-09-08,779,1679,3479,"Half1",0,1,0,1,"1",0,"12:59","TEN 42",10,73,"(12:59) B.Mayfield pass short left to O.Beckham to TEN 26 for 16 yards (R.Evans).","pass",16,0,0,1,0,0,0,"short","left",11,5,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.000993624911401768,0.0683117821786244,0.000253567640268267,0.105763575327337,0.338707091697169,0.0033341338334589,0.482636224411741,0,0,3.45545560453284,0.746773550573885,3.38723067939452,-3.38723067939452,1.4362284226171,-1.4362284226171,1.75689808846615,-1.75689808846615,0.544840631483728,0.201932919090157,0.544840631483728,0.201932919090157,0.406624332164178,-0.406624332164178,2.11465484730358,-2.11465484730358,1.40687710654091,-1.40687710654091,0.350020981925249,-0.350020981925249,0.589087962210962,0.410912037789038,0.589087962210962,0.410912037789038,0.0272714293556041,0.616359391566566,0.383640608433434,0.0501269763212853,-0.0501269763212853,0.0602826475572227,-0.0602826475572227,0.01873164812763,0.00853978122797416,0.01873164812763,0.00853978122797416,0.0150565120264351,-0.0150565120264351,0.0672571203981838,-0.0672571203981838,0.0454837133813923,-0.0454837133813923,0.0147989341758303,-0.0147989341758303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0034855","B.Mayfield","00-0031235","O.Beckham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEN",NA,"00-0034743",NA,"R.Evans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"7","179",2019090801,"CLE","TEN","CLE","home","TEN","TEN",26,2019-09-08,737,1637,3437,"Half1",0,1,0,1,"1",0,"12:17","TEN 26",10,73,"(12:17) B.Mayfield pass short left to O.Beckham to TEN 14 for 12 yards (H.Landry). PENALTY on CLE-G.Robinson, Illegal Blindside Block, 15 yards, enforced at TEN 26 - No Play.","no_play",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.000725289070803296,0.0409953801310599,5.78421442048739e-05,0.0632214745897223,0.370636961921774,0.00291418976919951,0.521448862373236,0,0,4.20222915510673,-1.12050545337862,2.2667252260159,-2.2667252260159,1.4362284226171,-1.4362284226171,1.75689808846615,-1.75689808846615,NA,NA,0,0,0.406624332164178,-0.406624332164178,2.11465484730358,-2.11465484730358,1.40687710654091,-1.40687710654091,0.350020981925249,-0.350020981925249,0.616359391566566,0.383640608433434,0.616359391566566,0.383640608433434,-0.0366178873820148,0.579741504184552,0.420258495815448,0.0501269763212853,-0.0501269763212853,0.0602826475572227,-0.0602826475572227,NA,NA,0,0,0.0150565120264351,-0.0150565120264351,0.0672571203981838,-0.0672571203981838,0.0454837133813923,-0.0454837133813923,0.0147989341758303,-0.0147989341758303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"CLE","00-0031386","G.Robinson",15,0,NA,"Illegal Blindside Block",0,0,0,0
"8","215",2019090801,"CLE","TEN","CLE","home","TEN","TEN",41,2019-09-08,707,1607,3407,"Half1",0,1,0,1,"1",0,"11:47","TEN 41",25,73,"(11:47) (Shotgun) B.Mayfield pass short right to O.Beckham to TEN 39 for 2 yards (A.Jackson).","pass",2,1,0,1,0,0,0,"short","right",0,2,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00127307760238593,0.0735286490807998,0.000263384067382862,0.113431833131824,0.390798172482174,0.00409389077330218,0.416610992862131,0,0,3.08172370172811,-0.286042383786163,1.98068284222974,-1.98068284222974,1.4362284226171,-1.4362284226171,1.47085570467999,-1.47085570467999,-0.456304187304095,0.170261803517932,-0.456304187304095,0.170261803517932,-0.0496798551399165,0.0496798551399165,2.28491665082151,-2.28491665082151,0.950572919236811,-0.950572919236811,0.520282785443182,-0.520282785443182,0.579741504184552,0.420258495815448,0.579741504184552,0.420258495815448,-0.00793125651560789,0.571810247668944,0.428189752331056,0.0501269763212853,-0.0501269763212853,0.0523513910416148,-0.0523513910416148,-0.0145442648433377,0.00661300832772982,-0.0145442648433377,0.00661300832772982,0.000512247183097392,-0.000512247183097392,0.0738701287259136,-0.0738701287259136,0.0309394485380546,-0.0309394485380546,0.0214119425035602,-0.0214119425035602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0034855","B.Mayfield","00-0031235","O.Beckham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEN",NA,"00-0033878",NA,"A.Jackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"9","239",2019090801,"CLE","TEN","CLE","home","TEN","TEN",39,2019-09-08,664,1564,3364,"Half1",0,1,0,1,"2",0,"11:04","TEN 39",23,73,"(11:04) (Shotgun) B.Mayfield pass deep middle to R.Higgins to TEN 4 for 35 yards (R.Evans).","pass",35,1,0,1,0,0,0,"deep","middle",28,7,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00158818648788604,0.080710115881177,0.000492466123333417,0.128621824784274,0.390665528729443,0.00366007216469434,0.394261805829192,0,0,2.79568131794195,3.05884218186385,5.03952502409359,-5.03952502409359,1.4362284226171,-1.4362284226171,4.52969788654384,-4.52969788654384,1.52798020462896,1.53086197723489,1.52798020462896,1.53086197723489,1.47830034948905,-1.47830034948905,3.8157786280564,-3.8157786280564,2.47855312386578,-2.47855312386578,2.05114476267807,-2.05114476267807,0.571810247668944,0.428189752331056,0.571810247668944,0.428189752331056,0.1059966385435,0.677806886212444,0.322193113787556,0.0501269763212853,-0.0501269763212853,0.158348029585115,-0.158348029585115,0.0513616083295158,0.0546350302139842,0.0513616083295158,0.0546350302139842,0.0518738555126131,-0.0518738555126131,0.128505158939898,-0.128505158939898,0.0823010568675704,-0.0823010568675704,0.0760469727175443,-0.0760469727175443,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0034855","B.Mayfield","00-0032977","R.Higgins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEN",NA,"00-0034743",NA,"R.Evans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"10","263",2019090801,"CLE","TEN","CLE","home","TEN","TEN",4,2019-09-08,618,1518,3318,"Half1",0,1,1,1,"1",1,"10:18","TEN 4",4,73,"(10:18) D.Hilliard right guard for 4 yards, TOUCHDOWN.","run",4,0,0,0,0,0,0,NA,NA,NA,NA,"right","guard",NA,NA,NA,NA,3,3,0,NA,"CLE",3,3,6,0,0,0,0,6,0,6,0.000354023395191558,0.0108505056385173,1.41946155594098e-05,0.0135263976579401,0.208834872790789,0.00193129402566717,0.764488711876336,0,0,5.8545234998058,1.1454765001942,6.18500152428779,-6.18500152428779,2.5817049228113,-2.5817049228113,4.52969788654384,-4.52969788654384,NA,NA,0,0,1.47830034948905,-1.47830034948905,3.8157786280564,-3.8157786280564,2.47855312386578,-2.47855312386578,2.05114476267807,-2.05114476267807,0.677806886212444,0.322193113787556,0.677806886212444,0.322193113787556,0.0369850662088824,0.714791952421326,0.285208047578674,0.0871120425301677,-0.0871120425301677,0.158348029585115,-0.158348029585115,NA,NA,0,0,0.0518738555126131,-0.0518738555126131,0.128505158939898,-0.128505158939898,0.0823010568675704,-0.0823010568675704,0.0760469727175443,-0.0760469727175443,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0034253","D.Hilliard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"11","286",2019090801,"CLE","TEN","CLE","home","TEN","TEN",15,2019-09-08,611,1511,3311,"Half1",0,1,0,1,NA,0,"10:11","TEN 15",0,73,"A.Seibert extra point is No Good, Wide Right, Center-C.Hughlett, Holder-J.Gillan.","extra_point",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,33,"failed",NA,3,3,0,NA,NA,3,3,6,0,6,0,6,6,0,6,0,0,0,0,0,0,0,0.931114949971538,0,0.931114949971538,-0.931114949971538,5.25388657431625,-5.25388657431625,2.5817049228113,-2.5817049228113,4.52969788654384,-4.52969788654384,NA,NA,0,0,1.47830034948905,-1.47830034948905,3.8157786280564,-3.8157786280564,2.47855312386578,-2.47855312386578,2.05114476267807,-2.05114476267807,0.714791952421326,0.285208047578674,0.714791952421326,0.285208047578674,-0.0421271073928993,0.672664845028427,0.327335154971573,0.0871120425301677,-0.0871120425301677,0.158348029585115,-0.158348029585115,NA,NA,0,0,0.0518738555126131,-0.0518738555126131,0.128505158939898,-0.128505158939898,0.0823010568675704,-0.0823010568675704,0.0760469727175443,-0.0760469727175443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A.Seibert","00-0035145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
